Switzerland,3,Europe,46.7919 8.1183,Switzerland
Syrian Arab Republic,0,Asia,35.0126 38.5441,Syrian Arab Republic
Tajikistan,3,Asia,38.3213 72.1918,Tajikistan
Tanzania,2,Africa,-5.6989 34.2839,Tanzania
Thailand,8,Asia,15.4439 100.9692,Thailand
Timor-Leste,1,Group B,-8.7676 125.9664,Timor-Leste
Togo,1,Africa,8.8015 0.9075,Togo
Tokelau,3,Oceania,-9.3462 -171.1946,Tokelau
Tonga,7,Oceania,-21.1655 -175.2625,Tonga
Trinidad and Tobago,4,America,10.4282 -61.3304,Trinidad and Tobago
Tunisia,4,Africa,33.7774 9.0109,Tunisia
Turkey,5,Europe,39.3196 34.3321,Turkey
Turkmenistan,6,Asia,39.4791 59.5154,Turkmenistan
Turks and Caicos Islands,8,America,21.8092 -71.7418,Turks and Caicos Islands
Tuvalu,6,Oceania,-8.5042 179.2049,Tuvalu
Uganda,5,Africa,1.9676 32.9896,Uganda
Ukraine,1,Europe,48.8464 33.5486,Ukraine
United Arab Emirates,0,Asia,23.3865 54.2485,United Arab Emirates
United Kingdom,8,Europe,52.4072 -1.7451,United Kingdom
United States of America,8,America,39.382 -99.3421,United States of America
Uruguay,0,America,-32.781 -56.0032,Uruguay
Uzbekistan,9,Asia,41.8936 63.8434,Uzbekistan
Vanuatu,6,Oceania,-15.296 166.885,Vanuatu
Holy See,1,Group B,41.9035 12.4535,Holy See
Venezuela,6,America,7.1583 -64.0124,Venezuela
Viet Nam,2,Asia,21.5866 105.3047,Viet Nam
Yemen,7,Asia,15.3921 45.4111,Yemen
Zambia,9,Africa,-14.9226 26.1418,Zambia
Zimbabwe,9,Africa,-18.907 29.7885,Zimbabwe
